Rank, Antecedents, Consequents, Support, Confidence, Lift, Conviction, Leverage
1,pastry,bread,0.033,0.339,0.905,0.946,-0.004
2,cake,tea,0.027,0.229,1.403,1.085,0.008
3,cake,bread,0.027,0.225,0.6,0.807,-0.018
4,tea,bread,0.032,0.197,0.526,0.779,-0.029
5,tea,cake,0.027,0.167,1.403,1.057,0.008
6,bread,pastry,0.033,0.089,0.905,0.99,-0.004
7,bread,tea,0.032,0.086,0.526,0.915,-0.029
8,bread,cake,0.027,0.071,0.6,0.949,-0.018
